tps,latency
2.2555530182714345,11648922.0
2.033328148945256,10445860.0
1.977777206057325,8698988.0
2.15555440676481,10012336.0
2.199993097753877,8223487.0
9761.550893285132,607.0
1.7999903802914108,8415857.0
3.183315921903937,7589115.0
3.222208695980855,10223487.0
2.249998803513136,9235471.0
2.1055534688233952,10119158.0
9010.061674753188,613.0
1.6999962062601328,8934229.0
2.4833206762617333,10417210.0
8178.736899390109,728.0
2.883325703252599,8913658.0
2.5111045400388003,7617277.0
1.644444328109144,10022521.0
6918.980342828354,695.0
2.677776214328382,7656112.0
1.9444349884734544,9862021.0
6835.666128892923,706.0
1.761103990184966,10315367.0
2.044442442674059,8545023.0
3.988883557192003,10503476.0
3.1722208899070723,9199370.0
2.277776989148113,10197895.0
3.0277601617981715,5468173.0
8530.647590696912,652.0
2.8833191092794297,6796821.0
2.555555281344474,10278742.0
1.7444377398918174,11039237.0
2.394441254902366,10085663.0
9632.915125247484,600.0
3.166647701683951,5376676.0
2.0111081784684743,9668466.0
9827.984270397856,595.0
1.6999898139726994,11694597.0
3.8055389934270174,6397036.0
2.022216439581968,8084648.0
3.249985598934646,9740102.0
7925.773157844604,735.0
4.005550902062289,5387617.0
1.7944437761138292,10657289.0
1.6499920292276715,10720695.0
2.027767243819845,9909572.0
2.783319515342582,7463599.0
2.288886494433863,9529975.0
2.1999879672758125,9493683.0
3.149992397668348,7003599.0
2.8277775414541244,10320831.0
2.111104689412126,8562091.0
2.3277777249501552,8177157.0
2.061105679685424,9684331.0
7654.578401661608,645.0
2.161107549761949,7827968.0
1.9666608847055176,10475640.0
2.0055461244749053,9330193.0
2.633323270132345,9188485.0
2.172212855266287,8103234.0
4.411087975175236,5377712.0
1.4499919290227026,10537915.0
3.038874338117018,5519018.0
2.2333259458012886,11040075.0
2.2055540736070145,9917968.0
1.4333272357124218,10036998.0
1.5999992720625535,7385908.0
2.111102221048548,10160797.0
0.0,9999999.0
2.66109690092758,8053911.0
2.9666550024878977,10174104.0
1.1277757336341372,10194211.0
1.7555523401151485,9648404.0
1.3444389609559455,10713077.0
1.7999912608924291,11051654.0
1.8111065192920124,10835552.0
1.3111054035415133,11575213.0
2.583318525966819,8034691.0
9523.74206911602,679.0
2.0722169307011664,11522067.0
1.8722166879600937,12223685.0
2.472212404929417,9872390.0
1.6222176283542438,11384188.0
2.544433371141092,9424070.0
0.9833321260855564,12615197.0
2.5444390182162016,8106838.0
1.8499907169007488,9573622.0
2.261100844394302,8215887.0
1.5944375806209674,8573145.0
7817.5508023371,662.0
2.188878622355005,11146191.0
2.138884015120828,10440975.0
9111.180073052805,615.0
2.5222147478910384,8286791.0
1.6444388794166107,10092242.0
3.7555488647740174,5451223.0
1.3833302532716727,11207733.0
8530.19827266183,657.0
2.138886677767255,10717190.0
1.5722137202494324,10350158.0
2.483328399028786,8808676.0
1.8888816725004087,10090771.0
1.938888000598123,8432689.0
2.7111030897101527,8626863.0
2.4666644570149425,10151566.0
2.122216044522057,7390088.0
2.477768777888369,8794801.0
1.955555487045928,9491663.0
1.8999984699734545,10889575.0
1.3722201983880158,8990483.0
1.6999998561422345,9726020.0
1.505548539314611,9453171.0
2.766657757890353,7440671.0
1.9388869405229447,8427233.0
1.73332915872561,11462444.0
9833.940942414176,603.0
2.216657987354632,10178937.0
2.477776171050054,7933488.0
3.2888855064163183,10468568.0
1.6333333146044446,8904491.0
2.6833258242398097,8895519.0
2.872221722312032,7257354.0
2.661099860646176,5410283.0
2.794440966296922,9853440.0
2.116654881085252,10225741.0
1.7611109216547118,10127556.0
2.4166551123969087,9112617.0
2.8888796589986248,9162527.0
9867.136449871225,603.0
1.8277705868510377,9859397.0
9134.901450471312,628.0
2.1166661748592808,9494641.0
2.799993009599674,9866166.0
2.066663462327931,10924561.0
1.6888837730910518,11453867.0
3.7222186161781847,8265581.0
9827.718845751831,595.0
2.7777765688276865,10154859.0
2.166664791370142,8605145.0
1.549993901083998,9994424.0
2.216666618835927,8494906.0
2.827775078273719,6780273.0
3.116649138250989,5402492.0
9723.532946942947,601.0
9780.244600568863,608.0
1.83332929033299,10149201.0
2.2499921702897465,9350317.0
2.483329551498352,9499798.0
2.5055421507936915,9053799.0
3.344426840050444,5316970.0
1.6666621462067053,9408637.0
9538.364725373503,608.0
2.6111098247043376,5490317.0
9947.262643368931,587.0
1.8999946919953845,11728220.0
2.605543707439031,8653388.0
1.9499891038508848,11120857.0
